GREVESSE 93 MIX X=0.35  Z=0.10
  -1.642  -1.619  -1.607  -1.602  -1.599  -1.598  -1.597  -1.594  -1.595
19 17 3.200 -7.0  -4.029  -3.294  -2.607  -2.149  -1.960  -1.899  -1.878  -1.869
  -1.865  -1.863  -1.862  -1.862  -1.863  -1.863  -1.862  -1.863   -.409
20 17 3.150 -7.0  -2.171  -2.060  -2.027  -2.017  -2.012  -2.010  -2.010  -2.010
  -2.011  -2.010  -2.012   -.687   -.478   -.290   -.169    .446    .875
21 17 3.100 -7.0  -2.003  -2.003  -2.003  -2.003  -2.004  -2.004   -.945   -.658
   -.406    .104    .516    .601    .820    .988   1.088   1.129   1.166
22 17 3.050 -7.0  -2.000  -1.999   -.776   -.508   -.205    .400    .632    .742
    .849    .939   1.028   1.065   1.104   1.113   1.114   1.115   1.115
23 17 3.000 -7.0    .145    .355    .587    .731    .827    .905    .987   1.049
   1.058   1.060   1.061   1.061   1.061   1.061   1.061   1.061   1.061
GREVESSE 93 MIX X=0.35  Z=0.04
 1 17 4.100 -7.0   -.678   -.671   -.651   -.600   -.478   -.249    .103    .538
    .993   1.423   1.793   2.075   2.275   2.420   2.541   2.660   2.795
 2 17 4.050 -7.0   -.713   -.731   -.725   -.655   -.489   -.215    .171    .597
   1.010   1.360   1.622   1.805   1.937   2.044   2.154   2.278   2.429
 3 17 4.000 -7.0   -.800   -.792   -.744   -.637   -.456   -.176    .177    .542
    .857   1.086   1.246   1.365   1.468   1.575   1.698   1.846   2.030
 4 17 3.950 -7.0   -.814   -.783   -.724   -.620   -.451   -.220    .038    .268
    .442    .570    .678    .782    .897   1.030   1.187   1.374   1.596
 5 17 3.900 -7.0   -.803   -.772   -.725   -.653   -.558   -.456   -.366   -.286
   -.204   -.114   -.005    .126    .278    .453    .653    .883   1.143
 6 17 3.850 -7.0   -.808   -.804   -.813   -.844   -.898   -.959  -1.002  -1.006
   -.958   -.857   -.716   -.540   -.341   -.120    .123    .400    .716
 7 17 3.800 -7.0   -.904   -.999  -1.135  -1.295  -1.461  -1.611  -1.721  -1.763
  -1.718  -1.591  -1.406  -1.184   -.935   -.661   -.349    .008    .403
 8 17 3.750 -7.0  -1.283  -1.483  -1.695  -1.907  -2.111  -2.292  -2.428  -2.483
  -2.428  -2.273  -2.044  -1.762  -1.429  -1.048   -.633   -.211    .189
 9 17 3.700 -7.0  -1.916  -2.144  -2.368  -2.582  -2.780  -2.951  -3.076  -3.115
  -3.033  -2.823  -2.501  -2.100  -1.657  -1.218   -.805   -.428   -.081
10 17 3.650 -7.0  -2.657  -2.866  -3.062  -3.239  -3.396  -3.519  -3.580  -3.536
  -3.351  -3.032  -2.631  -2.204  -1.795  -1.420  -1.082   -.772   -.474
11 17 3.600 -7.0  -3.354  -3.506  -3.641  -3.746  -3.806  -3.807  -3.742  -3.598
  -3.367  -3.069  -2.740  -2.411  -2.100  -1.810  -1.521  -1.225   -.916
12 17 3.550 -7.0  -3.842  -3.898  -3.916  -3.902  -3.863  -3.803  -3.725  -3.622
  -3.485  -3.313  -3.108  -2.870  -2.602  -2.309  -1.992  -1.661  -1.339
13 17 3.500 -7.0  -3.965  -3.942  -3.914  -3.891  -3.885  -3.897  -3.917  -3.922
  -3.887  -3.796  -3.632  -3.367  -2.993  -2.512  -1.965  -1.434  -1.020
14 17 3.450 -7.0  -3.971  -3.989  -4.032  -4.096  -4.180  -4.270  -4.339  -4.358
  -4.315  -4.161  -3.810  -3.263  -2.612  -1.981  -1.472  -1.152   -.989
